,title,budget,revenue,RB Ratio,metascore
Avatar,Avatar,237000000,2787965087,11.76356577,83
Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,300000000,961000000,3.203333333,50
Spectre,Spectre,245000000,880674609,3.594590241,60
The Dark Knight Rises,The Dark Knight Rises,250000000,1084939099,4.339756396,78
John Carter,John Carter,260000000,284139100,1.092842692,51
Spider-Man 3,Spider-Man 3,258000000,890871626,3.452990798,59
Tangled,Tangled,260000000,591794936,2.276134369,71
Avengers: Age of Ultron,Avengers: Age of Ultron,280000000,1405403694,5.019298907,66
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,250000000,933959197,3.735836788,78
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,250000000,873260194,3.493040776,44
Superman Returns,Superman Returns,270000000,391081192,1.448448859,72
Quantum of Solace,Quantum of Solace,200000000,586090727,2.930453635,58
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,5.32829906,53
The Lone Ranger,The Lone Ranger,255000000,89289910,0.35015651,37
Man of Steel,Man of Steel,225000000,662845518,2.94598008,55
The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,225000000,419651413,1.865117391,62
The Avengers,The Avengers,220000000,1519557910,6.907081409,69
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,2.751878426,45
Men in Black 3,Men in Black 3,225000000,624026776,2.773452338,58
The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,250000000,956019788,3.824079152,59
The Amazing Spider-Man,The Amazing Spider-Man,215000000,752215857,3.498678405,66
Robin Hood,Robin Hood,200000000,310669540,1.5533477,53
The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,250000000,958400000,3.8336,66
The Golden Compass,The Golden Compass,180000000,372234864,2.067971467,51
King Kong,King Kong,207000000,550000000,2.657004831,81
Titanic,Titanic,200000000,1845034188,9.22517094,75
Captain America: Civil War,Captain America: Civil War,250000000,1153304495,4.61321798,75
Battleship,Battleship,209000000,303025485,1.449882703,41
Jurassic World,Jurassic World,150000000,1513528810,10.09019207,59
Skyfall,Skyfall,200000000,1108561013,5.542805065,81
Spider-Man 2,Spider-Man 2,200000000,783766341,3.918831705,83
Iron Man 3,Iron Man 3,200000000,1215439994,6.07719997,62
Alice in Wonderland,Alice in Wonderland,200000000,1025491110,5.12745555,53
X-Men: The Last Stand,X-Men: The Last Stand,210000000,459359555,2.187426452,58
Monsters University,Monsters University,200000000,743559607,3.717798035,65
Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,150000000,836297228,5.575314853,35
Transformers: Age of Extinction,Transformers: Age of Extinction,210000000,1091405097,5.197167129,32
