Title,Title,Budget,Revenue,BD Ratio,IMDB score
Almost Famous,Almost Famous,60000000,47383689,0.78972815,7.90
xXx: State of the Union,xXx: State of the Union,60000000,71073932,1.184565533,4.40
Priest,Priest,60000000,78309131,1.305152183,5.70
Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,60000000,26288320,0.438138667,6.70
Event Horizon,Event Horizon,60000000,26673242,0.444554033,6.70
Dragonfly,Dragonfly,60000000,52322400,0.87204,6.10
The Black Dahlia,The Black Dahlia,50000000,49111202,0.98222404,5.60
Flyboys,Flyboys,60000000,17800000,0.296666667,6.50
The Last Castle,The Last Castle,72000000,27642707,0.383926486,7.00
Supernova,Supernova,90000000,14828081,0.164756456,4.90
Winter's Tale,Winter's Tale,60000000,30800231,0.513337183,6.20
The Mortal Instruments: City of Bones,The Mortal Instruments: City of Bones,60000000,90565421,1.509423683,5.90
Meet Dave,Meet Dave,60000000,50650079,0.844167983,5.00
Dark Water,Dark Water,30000000,25473093,0.8491031,5.60
Inkheart,Inkheart,60000000,57490374,0.9581729,6.10
The Spirit,The Spirit,60000000,39031337,0.650522283,4.80
Mortdecai,Mortdecai,60000000,30418560,0.506976,5.50
The Monkey King 2,The Monkey King 2,68490000,193677158,2.827816586,5.90
The Great Raid,The Great Raid,80000000,10166502,0.127081275,6.70
Deadpool,Deadpool,58000000,783112979,13.50194791,8.00
American Sniper,American Sniper,58800000,542307423,9.222915357,7.30
Goosebumps,Goosebumps,58000000,158162788,2.726944621,6.30
Just Like Heaven,Just Like Heaven,58000000,102854431,1.773352259,6.70
The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,83000000,59468275,0.716485241,3.60
Rambo III,Rambo III,63000000,189015611,3.000247794,5.80
Leatherheads,Leatherheads,58000000,41299492,0.712060207,6.00
Did You Hear About the Morgans?,Did You Hear About the Morgans?,58000000,85280250,1.470349138,4.80
The Internship,The Internship,58000000,44000000,0.75862069,6.30
Resident Evil: Afterlife,Resident Evil: Afterlife,60000000,300228084,5.0038014,5.80
Red Tails,Red Tails,58000000,50365377,0.868368569,5.90
The Devil's Advocate,The Devil's Advocate,57000000,152944660,2.683239649,7.50
That's My Boy,That's My Boy,70000000,58058367,0.829405243,5.50
DragonHeart,DragonHeart,57000000,115267375,2.022234649,6.50
After the Sunset,After the Sunset,60000000,61347797,1.022463283,6.30
Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,57000000,149217355,2.617848333,4.30
Captain Corelli's Mandolin,Captain Corelli's Mandolin,57000000,62112895,1.089699912,5.90
The Pacifier,The Pacifier,56000000,113006880,2.01798,5.60
Walking Tall,Walking Tall,56000000,57223890,1.021855179,6.30
Forrest Gump,Forrest Gump,55000000,677945399,12.32627998,8.80
Alvin and the Chipmunks,Alvin and the Chipmunks,60000000,361366633,6.022777217,5.20
Meet the Parents,Meet the Parents,55000000,330444045,6.008073545,7.00
Pocahontas,Pocahontas,55000000,346079773,6.292359509,6.70
Superman,Superman,55000000,300218018,5.458509418,7.30
The Nutty Professor,The Nutty Professor,54000000,128769345,2.3846175,5.60
Hitch,Hitch,70000000,368100420,5.258577429,6.60
American Wedding,American Wedding,55000000,231449203,4.208167327,6.30
Captain Phillips,Captain Phillips,55000000,95000000,1.727272727,7.80
Date Night,Date Night,55000000,152263880,2.768434182,6.30
Casper,Casper,50000000,287928194,5.75856388,6.10
The Equalizer,The Equalizer,55000000,192330738,3.496922509,7.20
Maid in Manhattan,Maid in Manhattan,55000000,154906693,2.816485327,5.20
Crimson Tide,Crimson Tide,53000000,157387195,2.969569717,7.30
The Pursuit of Happyness,The Pursuit of Happyness,55000000,307077295,5.583223545,8.00
Flightplan,Flightplan,55000000,223387299,4.061587255,6.30
Disclosure,Disclosure,55000000,214015089,3.891183436,6.10
City of Angels,City of Angels,55000000,198685114,3.612456618,6.70
Kill Bill: Vol. 1,Kill Bill: Vol. 1,30000000,180949000,6.031633333,8.10
Kill Bill: Vol. 2,Kill Bill: Vol. 2,30000000,152159461,5.071982033,8.00
Tango & Cash,Tango & Cash,55000000,63408614,1.152883891,7.20
Death Becomes Her,Death Becomes Her,55000000,149022650,2.709502727,6.60
Shanghai Noon,Shanghai Noon,55000000,56932305,1.035132818,6.50
Executive Decision,Executive Decision,55000000,121969216,2.217622109,6.40
Mr. Popper's Penguins,Mr. Popper's Penguins,55000000,187361754,3.406577345,6.00
The Forbidden Kingdom,The Forbidden Kingdom,55000000,127906624,2.325574982,6.60
Free Birds,Free Birds,55000000,110000000,2,5.90
Evita,Evita,55000000,141047179,2.564494164,6.30
Ronin,Ronin,55000000,41610884,0.756561527,7.30
The Ghost and the Darkness,The Ghost and the Darkness,50000000,75000000,1.5,6.80
Paddington,Paddington,55000000,259207227,4.712858673,7.20
The Watch,The Watch,68000000,68267862,1.003939147,5.70
The Hunted,The Hunted,55000000,34234008,0.622436509,6.10
Stuck on You,Stuck on You,55000000,33828318,0.615060327,5.70
Changeling,Changeling,55000000,113020255,2.054913727,7.70
Chain Reaction,Chain Reaction,50000000,60209334,1.20418668,5.70
The Fan,The Fan,55000000,18626419,0.338662164,5.90
The Phantom of the Opera,The Phantom of the Opera,70000000,154648887,2.209269814,7.30
Elizabeth: The Golden Age,Elizabeth: The Golden Age,55000000,74237563,1.349773873,6.80
Gods and Generals,Gods and Generals,56000000,12923936,0.230784571,6.40
Turbulence,Turbulence,55000000,11466088,0.208474327,4.90
Muppets Most Wanted,Muppets Most Wanted,50000000,80383290,1.6076658,6.40
Thunderbirds,Thunderbirds,57000000,28283637,0.496204158,4.20
Burlesque,Burlesque,55000000,89519773,1.627632236,6.40
Lolita,Lolita,2000000,9250000,4.625,7.60
Blade II,Blade II,54000000,155010032,2.870556148,6.70
Seven Pounds,Seven Pounds,55000000,168167691,3.057594382,7.60
Bullet to the Head,Bullet to the Head,55000000,9489829,0.172542345,5.70
The Godfather: Part III,The Godfather: Part III,54000000,136766062,2.532704852,7.60
Elizabethtown,Elizabethtown,57000000,52034889,0.912892789,6.40
"You, Me and Dupree","You, Me and Dupree",54000000,130431368,2.415395704,5.60
Superman II,Superman II,54000000,190458706,3.527013074,6.80
Gigli,Gigli,54000000,7266209,0.134559426,2.40
All the King's Men,All the King's Men,55000000,9450897,0.171834491,6.20
Shaft,Shaft,46000000,107196498,2.330358652,5.90
Anastasia,Anastasia,53000000,139804348,2.637817887,7.10
Moulin Rouge!,Moulin Rouge!,52500000,179213434,3.413589219,7.60
Domestic Disturbance,Domestic Disturbance,75000000,54249294,0.72332392,5.60
Black Mass,Black Mass,53000000,98837872,1.864865509,6.90
Flags of Our Fathers,Flags of Our Fathers,90000000,65900249,0.732224989,7.10
Law Abiding Citizen,Law Abiding Citizen,53000000,126690726,2.390391057,7.40
Grindhouse,Grindhouse,67000000,25037897,0.373699955,7.50
Catch Me If You Can,Catch Me If You Can,52000000,352114312,6.771429077,8.10
Zero Dark Thirty,Zero Dark Thirty,40000000,132820716,3.3205179,7.40
The Break-Up,The Break-Up,52000000,204999686,3.942301654,5.80
Mamma Mia!,Mamma Mia!,52000000,609841637,11.72772379,6.40
Valentine's Day,Valentine's Day,52000000,216485654,4.163185654,5.70
The Dukes of Hazzard,The Dukes of Hazzard,50000000,110803676,2.21607352,5.10
The Thin Red Line,The Thin Red Line,52000000,98126565,1.887049327,7.60
The Change-Up,The Change-Up,52000000,75450437,1.450969942,6.30
Man on the Moon,Man on the Moon,82000000,47434430,0.578468659,7.40
Casino,Casino,52000000,116112375,2.232930288,8.20
From Paris with Love,From Paris with Love,52000000,52826594,1.015896038,6.50
"Me, Myself & Irene","Me, Myself & Irene",51000000,149270999,2.926882333,6.60
Barnyard,Barnyard,51000000,72779000,1.427039216,5.50
The Twilight Saga: New Moon,The Twilight Saga: New Moon,50000000,709827462,14.19654924,4.70
Shrek,Shrek,60000000,484409218,8.073486967,7.80
The Adjustment Bureau,The Adjustment Bureau,50200000,127869379,2.547198785,7.00
Robin Hood: Prince of Thieves,Robin Hood: Prince of Thieves,48000000,390493908,8.13528975,6.90
Jerry Maguire,Jerry Maguire,50000000,273552592,5.47105184,7.30
Ted,Ted,50000000,549368315,10.9873663,6.90
As Good as It Gets,As Good as It Gets,50000000,314178011,6.28356022,7.70
Patch Adams,Patch Adams,50000000,202292902,4.04585804,6.80
Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,50000000,173649015,3.4729803,6.30
Mr. Deeds,Mr. Deeds,50000000,171269535,3.4253907,5.80
Super 8,Super 8,50000000,260095987,5.20191974,7.00
Erin Brockovich,Erin Brockovich,52000000,256271286,4.928293962,7.30
How to Lose a Guy in 10 Days,How to Lose a Guy in 10 Days,50000000,177371441,3.54742882,6.40
22 Jump Street,22 Jump Street,50000000,188441614,3.76883228,7.00
Interview with the Vampire,Interview with the Vampire,60000000,223664608,3.727743467,7.60
Yes Man,Yes Man,70000000,225990978,3.228442543,6.80
Central Intelligence,Central Intelligence,50000000,216972543,4.33945086,6.30
Daddy's Home,Daddy's Home,50000000,242786137,4.85572274,6.20
Into the Woods,Into the Woods,50000000,212902372,4.25804744,5.90
Inside Man,Inside Man,45000000,184376254,4.097250089,7.60
Payback,Payback,90000000,161626121,1.795845789,7.10
Congo,Congo,50000000,152022101,3.04044202,5.20
We Bought a Zoo,We Bought a Zoo,50000000,120081841,2.40163682,7.10
Knowing,Knowing,50000000,155446362,3.10892724,6.20
Failure to Launch,Failure to Launch,50000000,88715192,1.77430384,5.60
The Ring Two,The Ring Two,50000000,161451538,3.22903076,5.40
"Crazy, Stupid, Love.","Crazy, Stupid, Love.",50000000,142851197,2.85702394,7.40
Garfield,Garfield,50000000,200804534,4.01609068,5.00
Moneyball,Moneyball,50000000,110206216,2.20412432,7.60
Outbreak,Outbreak,50000000,189859560,3.7971912,6.60
Non-Stop,Non-Stop,50000000,222809600,4.456192,6.90
Race to Witch Mountain,Race to Witch Mountain,50000000,106303988,2.12607976,5.70
V for Vendetta,V for Vendetta,54000000,132511035,2.453908056,8.20
Shanghai Knights,Shanghai Knights,50000000,88323487,1.76646974,6.20
Curious George,Curious George,50000000,69834815,1.3966963,6.50
Herbie Fully Loaded,Herbie Fully Loaded,50000000,66002004,1.32004008,4.80
Don't Say a Word,Don't Say a Word,50000000,100020092,2.00040184,6.30
Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,50000000,224803475,4.4960695,6.10
Unfaithful,Unfaithful,50000000,119137784,2.38275568,6.70
I Am Number Four,I Am Number Four,50000000,144492830,2.8898566,6.10
Syriana,Syriana,50000000,94000000,1.88,6.90
The Book of Life,The Book of Life,50000000,97437106,1.94874212,7.30
Firewall,Firewall,45000000,82800000,1.84,5.80
Absolute Power,Absolute Power,50000000,50068310,1.0013662,6.70
G.I. Jane,G.I. Jane,50000000,48169156,0.96338312,5.90
The Game,The Game,50000000,109423648,2.18847296,7.80
Silent Hill,Silent Hill,50000000,97607453,1.95214906,6.50
American Reunion,American Reunion,50000000,234989584,4.69979168,6.70
The Negotiator,The Negotiator,50000000,44547681,0.89095362,7.30
Into the Storm,Into the Storm,50000000,160602194,3.21204388,5.80
Beverly Hills Cop III,Beverly Hills Cop III,50000000,119208989,2.38417978,5.60
Gremlins 2: The New Batch,Gremlins 2: The New Batch,50000000,41482207,0.82964414,6.40
The Judge,The Judge,50000000,83719388,1.67438776,7.40
Resident Evil: Apocalypse,Resident Evil: Apocalypse,45000000,129394835,2.875440778,6.20
Bridget Jones: The Edge of Reason,Bridget Jones: The Edge of Reason,50000000,40203020,0.8040604,6.00
Out of Time,Out of Time,50000000,55495563,1.10991126,6.50
On Deadly Ground,On Deadly Ground,50000000,49000000,0.98,4.60
The Adventures of Sharkboy and Lavagirl,The Adventures of Sharkboy and Lavagirl,50000000,69425966,1.38851932,3.50
The Beach,The Beach,40000000,144056873,3.601421825,6.70
Raising Helen,Raising Helen,50000000,49718611,0.99437222,6.00
Ninja Assassin,Ninja Assassin,40000000,60462347,1.511558675,6.30
Striptease,Striptease,50000000,113309743,2.26619486,4.50
Marmaduke,Marmaduke,50000000,83761844,1.67523688,4.20
Hereafter,Hereafter,50000000,105197635,2.1039527,6.40
Murder by Numbers,Murder by Numbers,50000000,56714147,1.13428294,6.20
Assassins,Assassins,50000000,30303072,0.60606144,6.30
Hannibal Rising,Hannibal Rising,50000000,82169884,1.64339768,6.20
The Story of Us,The Story of Us,50000000,58900031,1.17800062,6.00
The Host,The Host,44000000,63327201,1.439254568,5.90
Basic,Basic,50000000,42792561,0.85585122,6.50
Blood Work,Blood Work,50000000,26199517,0.52399034,6.40
The International,The International,50000000,60161391,1.20322782,6.50
Escape from L.A.,Escape from L.A.,50000000,42277365,0.8455473,5.70
The Iron Giant,The Iron Giant,70000000,23159305,0.330847214,8.00
The Life Aquatic with Steve Zissou,The Life Aquatic with Steve Zissou,50000000,34808403,0.69616806,7.30
Free State of Jones,Free State of Jones,50000000,25035950,0.500719,6.90
The Life of David Gale,The Life of David Gale,50000000,38955598,0.77911196,7.60
Run All Night,Run All Night,50000000,71561644,1.43123288,6.60
Eastern Promises,Eastern Promises,51500000,55112356,1.070142835,7.60
Into the Blue,Into the Blue,50000000,44434439,0.88868878,5.80
The Messenger: The Story of Joan of Arc,The Messenger: The Story of Joan of Arc,60000000,66976317,1.11627195,6.40
Your Highness,Your Highness,49900000,26121638,0.523479719,5.50
Dream House,Dream House,50000000,38502340,0.7700468,6.00
Mad City,Mad City,50000000,10541523,0.21083046,6.30
Baby's Day Out,Baby's Day Out,50000000,16671505,0.3334301,6.10
The Scarlet Letter,The Scarlet Letter,50000000,10382407,0.20764814,5.30
Fair Game,Fair Game,22000000,24188922,1.099496455,6.80
Domino,Domino,50000000,22944502,0.45889004,5.90
Jade,Jade,50000000,9851610,0.1970322,5.30
Gamer,Gamer,50000000,40828540,0.8165708,5.80
Beautiful Creatures,Beautiful Creatures,60000000,60052138,1.000868967,6.10
Zoolander 2,Zoolander 2,50000000,55969000,1.11938,4.70
The Big Bounce,The Big Bounce,50000000,6808550,0.136171,4.90
Drive Angry,Drive Angry,50000000,28931401,0.57862802,5.40
Street Fighter: The Legend of Chun-Li,Street Fighter: The Legend of Chun-Li,50000000,12764201,0.25528402,3.70
The One,The One,49000000,72700000,1.483673469,5.90
The Adventures of Ford Fairlane,The Adventures of Ford Fairlane,49000000,20423389,0.416803857,6.50
Traffic,Traffic,48000000,207515725,4.323244271,7.60
Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,48000000,474171806,9.878579292,8.20
Chappie,Chappie,49000000,104399548,2.13060302,6.80
The Bone Collector,The Bone Collector,73000000,151493655,2.075255548,6.70
Panic Room,Panic Room,48000000,196397415,4.091612813,6.80
Three Kings,Three Kings,75000000,108000000,1.44,7.10
Child 44,Child 44,50000000,3324330,0.0664866,6.50
Rat Race,Rat Race,48000000,85498534,1.781219458,6.40
K-PAX,K-PAX,48000000,50315140,1.048232083,7.40
Bedazzled,Bedazzled,48000000,90383208,1.8829835,6.00
The Cotton Club,The Cotton Club,58000000,25928721,0.447046914,6.50
3:10 to Yuma,3:10 to Yuma,55000000,70016220,1.273022182,7.70
Taken 3,Taken 3,48000000,325771424,6.786904667,6.00
Out of Sight,Out of Sight,48000000,77745568,1.619699333,7.00
The Cable Guy,The Cable Guy,47000000,102825796,2.187782894,6.10
Dick Tracy,Dick Tracy,47000000,103738726,2.207206936,6.10
The Thomas Crown Affair,The Thomas Crown Affair,48000000,124305181,2.589691271,6.80
Riding in Cars with Boys,Riding in Cars with Boys,48000000,35743308,0.74465225,6.50
First Blood,First Blood,15000000,125212904,8.347526933,7.70
Happily N'Ever After,Happily N'Ever After,47000000,38085778,0.810335702,4.50
Mary Reilly,Mary Reilly,47000000,12379402,0.263391532,5.80
My Best Friend's Wedding,My Best Friend's Wedding,38000000,299288605,7.876015921,6.30
Insomnia,Insomnia,46000000,113714830,2.472061522,7.20
Star Trek: First Contact,Star Trek: First Contact,46000000,150000000,3.260869565,7.60
Jonah Hex,Jonah Hex,47000000,10539000,0.224234043,4.70
Courage Under Fire,Courage Under Fire,46000000,100860818,2.192626478,6.60
Liar Liar,Liar Liar,45000000,181000000,4.022222222,6.90
The Infiltrator,The Infiltrator,25000000,15436808,0.61747232,7.00
Inchon,Inchon,46000000,5200000,0.113043478,2.80
The Flintstones,The Flintstones,46000000,341631208,7.426765391,4.90
Taken 2,Taken 2,45000000,376141306,8.358695689,6.20
Scary Movie 3,Scary Movie 3,48000000,220673217,4.597358688,5.50
Miss Congeniality,Miss Congeniality,45000000,212000000,4.711111111,6.20
Journey to the Center of the Earth,Journey to the Center of the Earth,45000000,101702060,2.260045778,5.80
The Princess Diaries 2: Royal Engagement,The Princess Diaries 2: Royal Engagement,40000000,95149435,2.378735875,5.80
The Pelican Brief,The Pelican Brief,45000000,195268056,4.339290133,6.60
The Client,The Client,45000000,117615211,2.613671356,6.70
The Bucket List,The Bucket List,45000000,175372502,3.897166711,7.40
Patriot Games,Patriot Games,45000000,178051587,3.956701933,6.90
Monster-in-Law,Monster-in-Law,43000000,154749918,3.598835302,5.50
Prisoners,Prisoners,46000000,122126687,2.654927978,8.10
Training Day,Training Day,45000000,104876233,2.330582956,7.70
Galaxy Quest,Galaxy Quest,45000000,90683916,2.015198133,7.30
Scary Movie 2,Scary Movie 2,45000000,141220678,3.138237289,5.30
The Muppets,The Muppets,45000000,165184237,3.670760822,7.10
Blade,Blade,45000000,131183530,2.915189556,7.10
Coach Carter,Coach Carter,30000000,76669806,2.5556602,7.30
Changing Lanes,Changing Lanes,45000000,94935764,2.109683644,6.40
Anaconda,Anaconda,45000000,136885767,3.041905933,4.80
Coyote Ugly,Coyote Ugly,45000000,113916474,2.5314772,5.70
Love Actually,Love Actually,40000000,244931766,6.12329415,7.60
A Bug's Life,A Bug's Life,120000000,363258859,3.027157158,7.20
From Hell,From Hell,35000000,74558115,2.130231857,6.80
The Specialist,The Specialist,45000000,170362582,3.785835156,5.60
Tin Cup,Tin Cup,45000000,53854588,1.196768622,6.40
Kicking & Screaming,Kicking & Screaming,45000000,56070433,1.246009622,5.60
The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,50000000,104478416,2.08956832,6.70
Resident Evil: Extinction,Resident Evil: Extinction,45000000,148412065,3.298045889,6.30
Blended,Blended,40000000,123494610,3.08736525,6.50
Last Holiday,Last Holiday,45000000,38399961,0.853332467,6.40
Savages,Savages,45000000,82966152,1.843692267,6.50
Cellular,Cellular,25000000,56422687,2.25690748,6.50
Johnny English,Johnny English,40000000,160583018,4.01457545,6.20
The Ant Bully,The Ant Bully,50000000,55181129,1.10362258,5.80
Dune,Dune,40000000,30925690,0.77314225,6.50
Revolutionary Road,Revolutionary Road,35000000,75225693,2.149305514,7.30
16 Blocks,16 Blocks,55000000,65664721,1.193904018,6.60
Babylon A.D.,Babylon A.D.,70000000,72108608,1.030122971,5.60
Aliens in the Attic,Aliens in the Attic,45000000,57881056,1.286245689,5.40
The Pledge,The Pledge,35000000,29400000,0.84,6.80
The Producers,The Producers,45000000,38058335,0.845740778,7.60
The Phantom,The Phantom,45000000,17300889,0.3844642,4.90
Nixon,Nixon,44000000,13681765,0.310949205,7.10
The Ghost Writer,The Ghost Writer,45000000,60222298,1.338273289,7.20
Deep Rising,Deep Rising,45000000,11203026,0.248956133,6.10
Miracle at St. Anna,Miracle at St. Anna,45000000,9323833,0.207196289,6.10
Bangkok Dangerous,Bangkok Dangerous,45000000,42487390,0.944164222,5.40
Big Trouble,Big Trouble,40000000,8493890,0.21234725,6.50
Love in the Time of Cholera,Love in the Time of Cholera,45000000,4607608,0.102391289,6.40
Shadow Conspiracy,Shadow Conspiracy,45000000,2154540,0.047878667,4.90
Johnny English Reborn,Johnny English Reborn,45000000,160078586,3.557301911,6.30
Foodfight!,Foodfight!,65000000,73706,0.001133938,1.60
Argo,Argo,44500000,232324128,5.220766921,7.70
The Fugitive,The Fugitive,44000000,368875760,8.38354,7.80
The Bounty Hunter,The Bounty Hunter,40000000,136000000,3.4,5.60
Sleepers,Sleepers,44000000,165615285,3.76398375,7.60
Rambo: First Blood Part II,Rambo: First Blood Part II,44000000,300400432,6.827282545,6.50
Heaven's Gate,Heaven's Gate,44000000,3484331,0.079189341,6.80
Underworld: Evolution,Underworld: Evolution,50000000,111340801,2.22681602,6.70
Victor Frankenstein,Victor Frankenstein,40000000,34227298,0.85568245,6.00
Finding Forrester,Finding Forrester,43000000,80049764,1.861622419,7.30
Unleashed,Unleashed,45000000,50871113,1.130469178,7.00
The Sweetest Thing,The Sweetest Thing,43000000,68696770,1.597599302,5.20
The Firm,The Firm,42000000,270248367,6.434484929,6.80
Charlie St. Cloud,Charlie St. Cloud,44000000,48190704,1.095243273,6.40
The Mechanic,The Mechanic,40000000,51070807,1.276770175,6.60
21 Jump Street,21 Jump Street,42000000,201585328,4.799650667,7.20
Notting Hill,Notting Hill,42000000,363889678,8.664039952,7.10
Chicken Run,Chicken Run,45000000,224834564,4.996323644,7.00
Along Came Polly,Along Came Polly,42000000,171963386,4.094366333,6.00
Boomerang,Boomerang,40000000,70100000,1.7525,5.50
The Heat,The Heat,43000000,158674180,3.690097209,6.60
Cleopatra,Cleopatra,31115000,71000000,2.281857625,7.00
High Crimes,High Crimes,42000000,63781810,1.518614524,6.40
The Mothman Prophecies,The Mothman Prophecies,32000000,55157539,1.723673094,6.40
Licence to Kill,Licence to Kill,32000000,156167015,4.880219219,6.60
Red Riding Hood,Red Riding Hood,42000000,89162162,2.122908619,5.40
15 Minutes,15 Minutes,60000000,56359980,0.939333,6.10
Super Mario Bros.,Super Mario Bros.,48000000,20915465,0.435738854,4.00
Lord of War,Lord of War,42000000,24127895,0.57447369,7.60
Hero,Hero,31000000,177394432,5.722401032,7.90
One for the Money,One for the Money,40000000,36893721,0.922343025,5.30
The Interview,The Interview,44000000,12342632,0.280514364,6.50
The Warrior's Way,The Warrior's Way,42000000,11087569,0.263989738,6.30
Micmacs,Micmacs,33000000,14000000,0.424242424,7.20
8 Mile,8 Mile,41000000,215000000,5.243902439,7.10
A Knight's Tale,A Knight's Tale,65000000,117487473,1.807499585,6.90
Man on a Ledge,Man on a Ledge,42000000,46221189,1.1005045,6.60
The Big Year,The Big Year,41000000,7448385,0.181667927,6.20
The Karate Kid,The Karate Kid,8000000,90815558,11.35194475,7.20
American Hustle,American Hustle,40000000,251171807,6.279295175,7.20
The Proposal,The Proposal,40000000,317375031,7.934375775,6.70
Double Jeopardy,Double Jeopardy,70000000,177841558,2.540593686,6.50
Back to the Future Part II,Back to the Future Part II,40000000,332000000,8.3,7.80
Lucy,Lucy,40000000,126546825,3.163670625,6.40
Fifty Shades of Grey,Fifty Shades of Grey,40000000,571006128,14.2751532,4.10
Spy Kids 3-D: Game Over,Spy Kids 3-D: Game Over,38000000,197011982,5.184525842,4.20
A Time to Kill,A Time to Kill,40000000,152266007,3.806650175,7.50
Cheaper by the Dozen,Cheaper by the Dozen,40000000,190212113,4.755302825,5.80
Lone Survivor,Lone Survivor,40000000,149295601,3.732390025,7.50
A League of Their Own,A League of Their Own,40000000,107458785,2.686469625,7.20
The Conjuring 2,The Conjuring 2,40000000,320170008,8.0042502,7.30
The Social Network,The Social Network,40000000,224920315,5.623007875,7.70
He's Just Not That Into You,He's Just Not That Into You,40000000,177259441,4.431486025,6.40
Scary Movie 4,Scary Movie 4,45000000,178262620,3.961391556,5.00
Scream 3,Scream 3,40000000,161834276,4.0458569,5.50
Back to the Future Part III,Back to the Future Part III,40000000,244527583,6.113189575,7.40
Get Hard,Get Hard,40000000,111811453,2.795286325,6.00
Dracula,Dracula,40000000,215862692,5.3965673,7.50
Julie & Julia,Julie & Julia,40000000,129540499,3.238512475,6.20
42,42,40000000,95020213,2.375505325,7.50
The Talented Mr. Ripley,The Talented Mr. Ripley,40000000,128798265,3.219956625,7.40
Dumb and Dumber To,Dumb and Dumber To,40000000,169837010,4.24592525,5.60
Eight Below,Eight Below,40000000,120455994,3.01139985,7.30
The Intern,The Intern,35000000,194564672,5.558990629,7.10
Ride Along 2,Ride Along 2,40000000,124827316,3.1206829,5.90
The Last of the Mohicans,The Last of the Mohicans,40000000,75505856,1.8876464,7.70
Ray,Ray,40000000,124731534,3.11828835,7.70
Sin City,Sin City,40000000,158733820,3.9683455,8.00
Vantage Point,Vantage Point,40000000,151161491,3.779037275,6.60
"I Love You, Man","I Love You, Man",41000000,91636986,2.235048439,7.00
Shallow Hal,Shallow Hal,40000000,141069860,3.5267465,5.90
JFK,JFK,40000000,205405498,5.13513745,8.00
Big Momma's House 2,Big Momma's House 2,40000000,138259062,3.45647655,4.70
The Mexican,The Mexican,57000000,147845033,2.593772509,6.10
17 Again,17 Again,20000000,136267476,6.8133738,6.30
The Other Woman,The Other Woman,40000000,196781193,4.919529825,6.00
The Final Destination,The Final Destination,40000000,186167139,4.654178475,5.20
Bridge of Spies,Bridge of Spies,40000000,165478348,4.1369587,7.60
Behind Enemy Lines,Behind Enemy Lines,40000000,91753202,2.29383005,6.40
Get Him to the Greek,Get Him to the Greek,40000000,90029656,2.2507414,6.40
Shall We Dance?,Shall We Dance?,50000000,170128460,3.4025692,7.70
Small Soldiers,Small Soldiers,40000000,54682547,1.367063675,6.20
Spawn,Spawn,40000000,87840042,2.19600105,5.30
The Count of Monte Cristo,The Count of Monte Cristo,35000000,75395048,2.154144229,7.80
The Lincoln Lawyer,The Lincoln Lawyer,40000000,85412898,2.13532245,7.30
Unknown,Unknown,30000000,130786397,4.359546567,6.80
The Prestige,The Prestige,40000000,109676311,2.741907775,8.50
Horrible Bosses 2,Horrible Bosses 2,42000000,107670357,2.563579929,6.30
Escape from Planet Earth,Escape from Planet Earth,40000000,74597643,1.864941075,5.90
Apocalypto,Apocalypto,40000000,120175290,3.00438225,7.80
The Living Daylights,The Living Daylights,40000000,191185897,4.779647425,6.70
Predators,Predators,40000000,126248813,3.156220325,6.40
Secret Window,Secret Window,40000000,92913171,2.322829275,6.60
The Lake House,The Lake House,40000000,114830111,2.870752775,6.80
The Skeleton Key,The Skeleton Key,43000000,91974818,2.138949256,6.50
Made of Honor,Made of Honor,40000000,84601681,2.115042025,5.90
Jersey Boys,Jersey Boys,40000000,67347013,1.683675325,6.80
The Rainmaker,The Rainmaker,40000000,45916769,1.147919225,7.20
Gothika,Gothika,40000000,141591324,3.5397831,5.80
Amistad,Amistad,36000000,74000000,2.055555556,7.30
Aliens vs Predator: Requiem,Aliens vs Predator: Requiem,40000000,41797066,1.04492665,4.70
Music and Lyrics,Music and Lyrics,40000000,145896422,3.64741055,6.50
Paul,Paul,40000000,97552050,2.43880125,7.00
The Guilt Trip,The Guilt Trip,40000000,41863726,1.04659315,5.70
Scream 4,Scream 4,40000000,97138686,2.42846715,6.10
8MM,8MM,40000000,96618699,2.415467475,6.50
The Doors,The Doors,38000000,34416893,0.905707711,7.20
Sex Tape,Sex Tape,40000000,126069509,3.151737725,5.10
Hanging Up,Hanging Up,40000000,36037909,0.900947725,4.90
Final Destination 5,Final Destination 5,47000000,157887643,3.359311553,5.80
Pay It Forward,Pay It Forward,40000000,55707411,1.392685275,7.20
Fever Pitch,Fever Pitch,30000000,50451307,1.681710233,6.20
The Shadow,The Shadow,25000000,48063435,1.9225374,6.10
Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,40000000,55247881,1.381197025,6.90
Morning Glory,Morning Glory,40000000,58785180,1.4696295,6.50
Get Rich or Die Tryin',Get Rich or Die Tryin',40000000,46442528,1.1610632,5.30
The Art of War,The Art of War,40000000,30199105,0.754977625,5.70
Rent,Rent,40000000,31670620,0.7917655,6.90
The Out-of-Towners,The Out-of-Towners,75000000,29000000,0.386666667,5.50
